일시,province,시군구명칭,약품구분,예측수량,학습모델,학습방법
2026-04,서울,종로구,해열진통소염제,3567880.342239419,랜덤포레스트,그리드서치
2026-04,서울,중구,해열진통소염제,2146427.089596562,랜덤포레스트,그리드서치
2026-04,서울,중랑구,해열진통소염제,4030401.164790645,랜덤포레스트,그리드서치
2026-04,서울,강남구,진해거담제,5309810.462546717,랜덤포레스트,그리드서치
2026-04,서울,강동구,진해거담제,5251819.516887661,랜덤포레스트,그리드서치
2026-04,서울,강북구,진해거담제,2569956.0260136807,랜덤포레스트,그리드서치
2026-04,서울,강서구,진해거담제,4863972.857746758,랜덤포레스트,그리드서치
2026-04,서울,관악구,진해거담제,2991655.0730747143,랜덤포레스트,그리드서치
2026-04,서울,광진구,진해거담제,2793693.987829972,랜덤포레스트,그리드서치
2026-04,서울,구로구,진해거담제,4477561.08831872,랜덤포레스트,그리드서치
2026-04,서울,금천구,진해거담제,2330476.502608687,랜덤포레스트,그리드서치
2026-04,서울,노원구,진해거담제,4153950.870067376,랜덤포레스트,그리드서치
2026-04,서울,도봉구,진해거담제,2702509.935456643,랜덤포레스트,그리드서치
2026-04,서울,동대문구,진해거담제,3507366.801316247,랜덤포레스트,그리드서치
2026-04,서울,동작구,진해거담제,3475949.3511786563,랜덤포레스트,그리드서치
2026-04,서울,마포구,진해거담제,3181381.17094777,랜덤포레스트,그리드서치
2026-04,서울,서대문구,진해거담제,3393882.89904284,랜덤포레스트,그리드서치
2026-04,서울,서초구,진해거담제,4012912.5546517526,랜덤포레스트,그리드서치
2026-04,서울,성동구,진해거담제,2681972.896801745,랜덤포레스트,그리드서치
2026-04,서울,성북구,진해거담제,4151260.192786903,랜덤포레스트,그리드서치
2026-04,서울,송파구,진해거담제,5341131.936354544,랜덤포레스트,그리드서치
2026-04,서울,양천구,진해거담제,4017633.9025764912,랜덤포레스트,그리드서치
2026-04,서울,영등포구,진해거담제,4242834.7883771015,랜덤포레스트,그리드서치
2026-04,서울,용산구,진해거담제,1690174.1949953192,랜덤포레스트,그리드서치
2026-04,서울,은평구,진해거담제,4073286.679988132,랜덤포레스트,그리드서치
2026-04,서울,종로구,진해거담제,2201849.8714478137,랜덤포레스트,그리드서치
2026-04,서울,중구,진해거담제,1942919.452990852,랜덤포레스트,그리드서치
2026-04,서울,중랑구,진해거담제,3648802.3776945295,랜덤포레스트,그리드서치
2026-04,서울,강남구,항히스타민제,3276721.114137712,랜덤포레스트,그리드서치
2026-04,서울,강동구,항히스타민제,3291868.72370654,랜덤포레스트,그리드서치
2026-04,서울,강북구,항히스타민제,1104559.3252358416,랜덤포레스트,그리드서치
2026-04,서울,강서구,항히스타민제,2805033.9074928397,랜덤포레스트,그리드서치
2026-04,서울,관악구,항히스타민제,1594644.114552469,랜덤포레스트,그리드서치
2026-04,서울,광진구,항히스타민제,1588200.621899949,랜덤포레스트,그리드서치
2026-04,서울,구로구,항히스타민제,2551979.9780076067,랜덤포레스트,그리드서치
2026-04,서울,금천구,항히스타민제,937213.2017008392,랜덤포레스트,그리드서치
2026-04,서울,노원구,항히스타민제,2552447.6500520986,랜덤포레스트,그리드서치
2026-04,서울,도봉구,항히스타민제,1550026.8300423431,랜덤포레스트,그리드서치
2026-04,서울,동대문구,항히스타민제,2592175.0125716445,랜덤포레스트,그리드서치
2026-04,서울,동작구,항히스타민제,1566821.5054883915,랜덤포레스트,그리드서치
2026-04,서울,마포구,항히스타민제,1888725.81208953,랜덤포레스트,그리드서치
2026-04,서울,서대문구,항히스타민제,1563553.749456745,랜덤포레스트,그리드서치
2026-04,서울,서초구,항히스타민제,2836883.5661520623,랜덤포레스트,그리드서치
2026-04,서울,성동구,항히스타민제,1518190.0743899285,랜덤포레스트,그리드서치
2026-04,서울,성북구,항히스타민제,2478348.667777052,랜덤포레스트,그리드서치
2026-04,서울,송파구,항히스타민제,3569720.459443996,랜덤포레스트,그리드서치
2026-04,서울,양천구,항히스타민제,2605139.1142282523,랜덤포레스트,그리드서치
2026-04,서울,영등포구,항히스타민제,2249676.7893180544,랜덤포레스트,그리드서치
2026-04,서울,용산구,항히스타민제,936941.9464991748,랜덤포레스트,그리드서치
2026-04,서울,은평구,항히스타민제,2393225.021308544,랜덤포레스트,그리드서치
2026-04,서울,종로구,항히스타민제,1148025.6246329194,랜덤포레스트,그리드서치
2026-04,서울,중구,항히스타민제,970385.9947424408,랜덤포레스트,그리드서치
2026-04,서울,중랑구,항히스타민제,1709525.8455826454,랜덤포레스트,그리드서치
2026-05,서울,강남구,해열진통소염제,7715934.504841346,랜덤포레스트,그리드서치
2026-05,서울,강동구,해열진통소염제,6714036.399140138,랜덤포레스트,그리드서치
2026-05,서울,강북구,해열진통소염제,2609378.2362162527,랜덤포레스트,그리드서치
2026-05,서울,강서구,해열진통소염제,5084655.799517871,랜덤포레스트,그리드서치
2026-05,서울,관악구,해열진통소염제,3514711.64878125,랜덤포레스트,그리드서치
2026-05,서울,광진구,해열진통소염제,3388348.146217266,랜덤포레스트,그리드서치
2026-05,서울,구로구,해열진통소염제,3962812.284239725,랜덤포레스트,그리드서치
2026-05,서울,금천구,해열진통소염제,2515734.110540206,랜덤포레스트,그리드서치
2026-05,서울,노원구,해열진통소염제,4450208.799119874,랜덤포레스트,그리드서치
2026-05,서울,도봉구,해열진통소염제,2585153.2365850387,랜덤포레스트,그리드서치
2026-05,서울,동대문구,해열진통소염제,3990385.950537901,랜덤포레스트,그리드서치
2026-05,서울,동작구,해열진통소염제,3570204.517402525,랜덤포레스트,그리드서치
2026-05,서울,마포구,해열진통소염제,2575084.191315579,랜덤포레스트,그리드서치
2026-05,서울,서대문구,해열진통소염제,3225000.2641343363,랜덤포레스트,그리드서치
2026-05,서울,서초구,해열진통소염제,4459703.759141429,랜덤포레스트,그리드서치
2026-05,서울,성동구,해열진통소염제,2928510.8330012504,랜덤포레스트,그리드서치
2026-05,서울,성북구,해열진통소염제,3576610.5442908118,랜덤포레스트,그리드서치
2026-05,서울,송파구,해열진통소염제,5818131.771557959,랜덤포레스트,그리드서치
2026-05,서울,양천구,해열진통소염제,3956278.2448240686,랜덤포레스트,그리드서치
2026-05,서울,영등포구,해열진통소염제,4515915.4483868005,랜덤포레스트,그리드서치
2026-05,서울,용산구,해열진통소염제,2026317.4123434369,랜덤포레스트,그리드서치
2026-05,서울,은평구,해열진통소염제,4111585.245318652,랜덤포레스트,그리드서치
2026-05,서울,종로구,해열진통소염제,3486046.815257104,랜덤포레스트,그리드서치
2026-05,서울,중구,해열진통소염제,2051960.5198132084,랜덤포레스트,그리드서치
2026-05,서울,중랑구,해열진통소염제,3796749.709243556,랜덤포레스트,그리드서치
2026-05,서울,강남구,진해거담제,5103431.510977726,랜덤포레스트,그리드서치
